Bedrooms,Bathrooms,Area_sqft,Location_Rating,Age_of_House,Garage,Price
4,1,1473,4,35,0,390868
1,3,1165,10,19,1,350346
2,2,3916,9,25,1,665922
5,2,2618,9,25,1,653500
3,3,2485,5,21,0,516527
4,3,2723,6,8,1,628835
5,3,1146,5,4,0,500544
3,1,2914,3,16,1,497564
3,3,916,8,48,1,417622
1,1,3792,9,33,1,545138
2,2,2459,4,1,0,448504
2,2,624,9,6,1,314252
5,3,759,9,35,1,495113
2,1,3243,7,12,0,501483
4,3,1737,8,19,1,565554
2,3,1499,3,29,1,363432
5,1,3149,5,29,0,624675
2,3,1789,3,10,0,392693
4,2,3660,7,30,0,698066
1,3,1302,6,2,1,348118
5,1,3846,3,1,0,679699
1,1,600,9,47,1,239271
1,2,2522,1,2,1,384640
1,1,3388,10,14,0,503089
3,1,3757,3,16,0,562861
3,2,2967,10,47,1,584164
1,3,2024,7,6,0,405342
5,2,981,3,47,0,432969
4,3,2341,3,4,1,566284
4,2,3989,2,33,0,645347
2,3,2426,9,32,0,492838
5,2,1873,4,44,0,508456
3,3,2148,10,15,1,549711
1,2,2178,6,36,0,365474
2,3,1497,2,2,0,347008
4,2,1316,9,46,1,461524
3,1,3927,7,47,1,654805
3,3,2954,10,42,1,614976
1,2,3815,5,49,1,531641
4,3,990,7,20,0,437963
5,3,2299,4,40,1,614191
3,2,3840,10,7,1,723228
1,3,3637,7,21,0,561989
5,2,2945,2,4,1,662151
4,1,832,7,16,1,403099
3,3,2526,4,36,0,510258
5,1,2918,4,13,1,644207
5,3,3731,1,38,1,718284
5,3,1919,3,40,0,553647
3,3,3906,5,27,0,660065
3,2,3324,5,30,0,567893
2,1,1305,2,16,0,278678
4,3,833,4,34,0,410187
1,2,1991,1,39,0,281814
5,3,3492,9,21,0,756700
2,2,1855,1,44,0,321565
1,3,2496,6,47,0,407185
2,1,3138,7,28,0,483332
3,1,3150,3,9,0,518122
5,3,1489,1,17,0,475234
1,2,1191,7,34,1,302297
1,3,1345,3,43,0,275008
1,2,2319,10,15,0,427362
1,3,1027,6,49,0,266212
1,2,3344,6,48,0,480566
2,1,3293,4,6,0,494928
5,3,1331,6,29,1,528449
3,1,1399,10,18,1,424667
3,1,3011,4,22,1,525211
3,3,801,8,7,1,436589
3,3,3529,9,16,0,688791
2,2,2793,2,20,1,470865
4,2,1435,7,25,1,496011
5,1,3286,9,27,0,667689
1,2,734,9,38,1,264149
4,2,3273,5,32,1,643983
3,3,1887,1,39,0,403701
4,2,2711,6,18,0,585523
5,1,3138,8,28,1,678957
1,2,640,1,19,0,173669
1,1,3967,2,19,1,510524
5,3,3674,1,9,0,694606
5,1,1512,5,11,1,503919
3,2,2329,2,32,1,448512
1,3,1574,10,24,1,402238
4,2,1733,10,24,0,538365
2,3,3892,4,3,0,628127
2,3,3015,1,3,1,515546
5,2,2059,7,8,0,570945
3,2,3565,8,14,0,644799
2,3,3675,5,25,1,596391
1,3,2640,2,14,0,429667
5,2,843,8,25,0,457748
4,1,3549,1,27,1,606518
5,2,765,7,6,1,491693
4,3,1649,1,31,0,443557
5,2,2097,6,11,0,571221
5,1,3688,6,34,0,680156
5,2,1327,5,31,1,512773
4,3,1715,2,8,0,458723
4,2,1082,2,13,0,397810
5,3,3190,9,12,0,747626
2,3,3876,5,43,0,617017
3,2,3578,5,32,0,603326
3,3,3047,7,31,0,588056
3,3,1830,6,18,1,512829
4,1,3266,2,29,1,575632
4,1,3817,1,15,1,634945
2,1,3526,5,11,0,527436
3,1,2748,4,9,0,501096
3,3,1479,3,1,1,444567
5,2,1429,2,17,1,465280
4,3,3912,10,12,1,792018
3,3,2624,2,28,1,547292
2,3,1358,4,23,1,378788
2,2,762,2,37,0,255652
3,1,1796,4,11,0,392468
4,3,3149,3,28,0,629928
2,3,3194,9,21,0,582123
5,1,1907,7,35,0,534595
2,3,3028,3,0,1,553061
1,2,3517,8,42,1,530684
1,3,3552,9,39,0,548498
4,3,2595,7,33,1,610603
3,1,2534,6,33,0,468604
4,3,2156,4,47,0,536361
4,3,3834,5,32,1,723107
4,2,3649,8,3,0,701409
4,1,3256,3,37,0,565331
5,1,906,2,29,0,359346
5,2,1962,3,45,1,543525
2,3,2702,7,19,1,536625
1,1,3630,8,25,0,491816
4,1,932,1,14,0,324534
2,3,2774,7,6,1,565472
1,3,3352,9,6,1,564226
3,1,842,3,49,1,271247
5,3,2484,3,28,1,619689
1,1,3247,8,22,0,490246
3,3,2032,4,33,0,485979
1,3,3150,8,19,0,527669
5,2,3251,5,14,1,698207
5,3,902,3,32,1,478491
2,2,834,4,16,0,282679
4,3,3709,4,19,1,709756
1,1,2786,8,12,0,442643
1,1,794,6,43,1,227866
3,3,2150,7,23,0,506295
5,3,2392,9,46,0,643200
1,1,1246,6,36,0,247499
5,3,2648,3,6,0,633375
1,2,1160,3,7,1,274658
2,2,1719,3,22,0,349905
4,2,1312,10,13,0,483177
1,2,1012,2,3,0,229260
5,2,1137,1,20,0,429408
2,3,2478,10,45,1,535254
1,3,3076,1,9,0,463735
3,2,834,4,21,0,321430
4,3,2996,3,29,1,605805
1,3,2379,5,29,0,429980
2,2,2493,9,15,0,498846
3,3,2104,8,10,0,525552
2,3,2462,9,21,0,527555
2,3,3043,5,28,1,532619
3,2,1974,8,24,1,483563
2,3,1015,4,13,1,346605
3,1,2509,5,13,1,474609
1,1,1515,3,1,1,265834
3,2,3722,5,12,1,657712
3,1,680,3,2,0,269446
4,2,2683,5,29,0,547762
3,1,1690,5,17,0,383528
3,1,3288,6,35,0,553203
1,1,3529,9,20,1,524617
4,2,2290,1,18,0,507562
5,2,1356,10,15,0,548645
1,3,3270,6,27,1,548712
1,2,1067,1,3,0,240575
5,1,1765,6,14,0,509820
3,1,3003,2,0,1,519601
2,2,3356,8,47,0,550281
4,2,2094,3,46,0,465568
2,2,2244,10,15,1,479473
5,3,1619,6,19,0,551373
1,1,2214,6,32,0,361451
1,3,1501,4,16,0,322901
4,3,1272,5,4,0,473844
1,1,1038,2,4,0,209323
1,1,3178,10,38,1,512281
4,2,726,10,12,0,425407
4,2,2852,8,43,0,585590
5,3,2676,10,35,0,690051
1,2,1044,7,29,1,275275
1,2,1565,10,3,1,396305
5,1,1063,6,22,1,450879
3,1,3951,7,20,0,624970
3,2,2798,1,20,0,488331
3,1,2887,5,5,0,505309
5,2,2913,7,23,0,666642
1,1,3776,1,46,0,435316
5,1,1512,2,30,1,454390
5,1,1096,9,18,0,487419
3,1,2063,3,37,0,410233
2,2,2371,6,11,1,476804
1,3,3332,7,13,1,573230
3,1,757,9,49,1,347584
2,2,771,5,11,1,291687
2,2,1093,4,14,1,314422
4,1,1569,2,18,0,408798
1,3,1934,3,27,0,345741
2,1,2026,5,39,0,368682
3,2,2292,2,40,0,429242
4,3,2393,4,4,0,573805
1,2,3323,1,4,1,473594
5,1,1258,4,5,0,429473
3,3,3550,7,22,0,652516
2,2,1265,3,2,1,322432
2,2,966,10,36,1,356509
3,2,1149,8,32,0,399141
2,1,1242,6,42,0,289912
4,3,2493,6,20,1,591957
1,1,854,1,19,0,175005
4,1,807,5,0,1,391082
2,1,3097,3,38,0,453056
5,3,694,10,46,1,505989
1,1,2483,1,16,1,369901
1,1,3486,8,28,1,518516
3,1,1077,7,7,0,368566
3,1,3330,7,25,1,574351
5,2,1361,10,27,1,559648
1,1,789,10,33,0,229982
5,2,3358,10,25,0,717907
3,1,2107,4,12,0,410207
3,3,2356,6,43,1,520034
1,2,2159,9,36,1,419852
4,2,1355,3,12,1,424159
2,2,2046,9,37,0,420498
3,2,1435,4,24,0,367742
3,3,2263,5,46,1,521920
4,1,2228,7,22,0,517705
4,2,2435,6,21,0,543796
5,3,732,10,20,1,542579
5,2,654,8,29,1,480380
2,1,1109,8,10,0,333175
2,2,1269,8,3,1,379337
1,3,3057,3,32,0,471231
5,1,3882,10,46,0,744769
3,3,2289,6,11,1,535743
5,1,1916,7,8,1,549133
3,1,3634,9,31,0,629032
4,1,1333,10,10,0,469656
5,2,3786,10,36,1,786038
4,3,2293,4,23,0,554166
2,3,858,5,6,0,316768
2,3,1745,8,7,0,438490
1,1,898,1,32,0,162973
5,2,1160,6,24,0,464376
4,1,2512,4,0,1,546314
3,3,2464,5,2,0,536568
2,2,896,5,39,0,260818
2,2,3009,2,27,1,507244
3,2,3236,8,42,1,629363
4,3,2061,2,32,1,500405
4,2,2774,4,45,0,556714
5,2,796,5,0,0,450311
5,1,2868,1,37,1,572477
1,1,1594,6,26,1,310970
2,2,2738,2,37,1,470664
5,2,3058,5,34,1,667619
4,1,607,6,9,1,377591
3,1,3191,8,11,0,569388
4,1,3115,9,9,1,636896
2,3,919,6,33,0,325959
4,3,2017,5,23,0,533765
1,1,2916,4,27,1,419026
2,2,3862,2,21,1,569076
3,1,2298,2,44,1,429675
1,3,2708,7,15,1,486157
2,2,2061,5,12,1,411383
3,3,1887,7,35,0,476120
1,2,3444,1,35,1,447147
1,3,1718,1,42,1,331646
2,2,1152,5,22,0,300842
5,2,3573,2,13,1,698165
1,2,1260,8,31,1,337631
1,2,1315,3,2,1,288449
3,3,3426,1,26,0,593103
4,3,2841,2,18,1,595951
2,2,3129,10,21,1,576806
2,2,2058,10,0,1,480728
5,3,3867,7,4,1,811532
5,2,1454,6,48,0,478934
2,2,3920,8,32,1,617835
5,2,3145,7,18,0,670215
3,1,2859,10,35,1,581781
2,2,1264,8,5,1,386518
5,1,3317,3,14,1,635576
2,2,2497,6,35,0,441525
4,3,2274,7,32,1,600846
1,1,2868,10,23,1,488739
2,1,872,1,26,0,195830
1,2,1777,1,48,1,306828
5,2,1872,7,10,1,576913
1,1,878,3,48,1,184384
2,3,1415,3,22,1,354401
4,3,875,5,32,0,407950
5,2,1604,6,40,0,518010
2,3,3161,2,45,0,505661
5,3,3759,3,46,1,738214
3,2,1522,6,28,1,410290
1,3,1241,3,30,1,305952
3,2,1104,5,0,1,392854
2,1,3237,9,33,0,518907
4,2,1371,3,17,1,450167
5,1,1864,6,17,0,531723
1,1,3387,5,5,1,498207
5,3,3322,5,39,1,741724
2,3,1859,6,0,0,430041
5,3,1613,6,46,1,551046
1,2,727,1,41,0,155547
2,3,3150,9,29,0,569861
5,1,1823,5,3,1,514901
4,3,3549,1,31,0,655347
2,3,3190,8,9,0,597168
2,2,2125,7,42,1,451110
4,2,2273,7,4,0,553047
3,1,1091,5,8,0,330109
1,2,3692,1,4,1,510851
3,3,1857,9,10,0,491756
5,2,3361,9,34,1,752010
4,1,3438,8,26,0,632307
3,3,2266,5,3,1,536315
2,1,1015,3,9,1,284349
5,2,2795,8,38,1,680875
5,2,1569,1,32,1,470976
3,1,2676,3,37,1,494349
3,3,1984,7,7,0,494982
4,2,907,4,48,1,386209
1,2,2809,7,23,1,456450
3,3,3516,5,38,0,641379
3,2,3499,6,32,1,615314
2,1,660,7,40,0,262918
5,2,2772,10,42,0,662076
1,2,2079,7,18,1,385904
2,3,3742,7,1,0,622898
4,1,3485,7,10,0,651266
4,3,2530,7,34,0,609988
3,2,3113,3,16,1,580729
3,2,2890,3,41,0,526134
4,3,2113,7,2,1,572097
3,3,3892,2,21,1,677442
1,3,1072,2,34,0,243365
3,1,1558,3,20,1,375055
5,2,1132,4,24,0,470973
3,3,1093,6,38,0,374912
2,2,3546,8,1,1,619380
1,1,681,10,0,1,279628
2,1,3503,10,6,1,587583
2,1,1478,7,19,0,323253
5,1,2145,4,42,0,514198
1,2,3570,2,5,0,504319
1,1,611,2,35,1,165616
1,1,1886,4,20,0,291848
1,3,1048,6,45,0,279576
1,1,3863,3,34,0,490308
5,3,1361,6,35,0,530813
3,1,3785,5,7,1,622355
2,1,625,5,49,0,214486
1,3,2406,2,3,1,414239
3,1,3155,8,42,0,556029
3,2,2168,5,15,0,485314
2,2,661,2,2,0,245196
5,1,828,7,6,1,459917
4,2,2438,9,1,1,596717
4,3,1206,9,0,1,507045
3,1,1658,1,0,0,341217
2,1,2328,7,37,0,409794
4,3,2079,9,6,1,598202
3,3,3538,6,23,0,658727
5,3,2125,1,4,0,572598
4,1,1360,2,20,1,404803
3,3,1194,4,27,0,395064
3,3,3696,4,17,0,659541
1,2,2192,2,23,0,352625
5,2,1655,8,31,1,573563
1,1,2454,2,44,0,314789
2,2,3683,3,32,1,555790
1,2,3990,4,9,0,530544
1,3,2648,9,8,1,518309
4,3,2058,10,48,1,599644
3,2,2461,1,32,1,471704
5,2,1759,8,32,1,577460
1,2,1819,5,6,0,319472
5,1,732,7,3,1,422906
1,1,685,8,27,0,208096
2,1,2099,5,22,0,388450
1,2,2430,8,31,1,452728
4,2,3995,10,43,0,738389
3,1,1803,8,15,0,450493
2,1,3163,9,45,0,512797
1,2,774,2,9,0,217383
5,3,3410,3,13,1,726129
2,1,3692,1,38,0,504537
2,2,3644,4,35,0,543960
1,2,2575,5,33,0,395605
2,3,3776,1,23,0,581381
5,2,1177,8,17,0,488533
2,2,2398,2,15,1,442087
5,1,2696,1,40,0,533523
1,1,3175,2,36,1,434299
3,3,744,5,40,0,328729
2,3,1361,9,24,1,409422
3,2,1977,9,7,0,508023
5,1,3746,2,23,0,674176
2,3,2425,2,19,1,482875
4,3,1528,3,47,1,487738
3,3,1393,7,29,1,448633
2,2,2201,3,19,0,398734
3,1,2260,1,17,1,415075
2,3,918,6,3,1,351663
1,1,1710,3,47,1,280271
3,3,2176,1,35,0,458829
4,3,1297,4,5,0,472980
4,1,1446,1,2,0,383412
5,1,2401,1,17,1,544447
2,1,1382,2,46,0,250338
3,2,2689,10,39,0,564332
5,3,1716,8,17,0,584739
3,2,2350,2,22,0,471159
2,1,3176,2,34,1,476799
4,3,3936,10,5,0,799092
1,2,2249,10,25,1,448641
4,3,891,8,20,1,457051
5,2,1568,6,23,1,529137
1,1,2087,4,14,1,334388
5,2,2442,3,26,1,580987
2,3,696,1,31,1,288857
1,3,1718,3,11,0,341404
5,3,3997,9,4,1,830304
2,3,673,5,6,0,315569
4,1,1959,6,21,1,475463
2,2,1691,5,26,0,358252
3,1,1357,1,14,1,337896
2,1,2541,10,38,0,481895
2,1,3748,1,44,0,487759
3,3,807,4,34,1,376569
5,3,1844,3,25,1,573180
5,3,1885,8,22,1,625424
2,2,1009,7,12,1,352367
3,3,2978,7,25,0,591356
3,2,2991,8,2,0,571235
4,3,3636,10,28,1,757164
5,3,1370,7,1,1,584777
1,1,2443,10,27,0,418262
5,1,673,2,22,1,359028
5,1,2260,4,35,0,516131
4,2,853,6,48,1,392184
1,2,3606,3,5,1,523074
4,3,1419,3,10,0,472541
1,2,1585,6,37,0,326036
2,3,931,1,33,1,295678
1,2,2021,1,16,0,304374
4,2,3394,5,2,1,667251
5,2,1435,1,43,0,425959
1,1,2291,10,45,1,409824
1,2,1054,8,33,1,292794
3,1,2529,2,21,1,469365
5,1,1738,6,28,0,517416
2,2,912,10,28,0,347758
4,3,1617,10,4,0,545390
2,3,827,5,9,0,331647
5,3,3481,10,9,1,800731
1,2,1457,4,8,0,299129
1,3,1868,1,20,0,324505
5,1,3465,3,12,0,652746
1,3,1617,4,9,1,341989
1,2,3175,2,37,0,409533
1,3,1549,2,10,0,318676
4,1,1026,2,3,1,369825
4,2,2689,1,45,1,523094
3,3,1064,10,30,1,436406
2,2,2245,2,48,1,407498
5,2,877,6,33,1,478513
5,2,3483,3,41,1,697887
5,3,618,10,34,1,522475
3,2,665,5,38,0,311862
4,3,766,1,38,1,362085
3,1,2208,8,32,1,466035
5,3,3667,4,7,1,775183
2,1,1002,9,31,1,328739
1,3,1008,4,32,1,295216
4,2,2759,2,7,0,533545
4,3,3945,3,45,0,695804
3,2,1196,5,13,0,354575
4,1,3298,10,33,0,633347
5,3,1662,6,7,0,554856
5,2,2752,7,41,0,645121
3,1,923,4,6,0,317255
5,1,2582,7,12,1,624263
2,3,3639,10,20,1,665699
3,1,2037,3,46,1,412022
2,2,1028,7,31,1,351672
1,1,3282,4,10,1,458132
2,1,3377,8,13,1,579015
1,2,3536,9,10,0,552603
1,1,1684,7,1,1,340401
2,1,2235,8,33,1,448092
3,1,3978,8,43,1,651283
5,1,1977,2,46,0,484468
5,2,992,9,16,0,505804
1,1,2851,6,13,0,420888
1,2,2905,4,24,1,434976
3,1,3133,5,47,1,552402
4,1,2140,10,26,1,540962
2,1,1045,5,7,0,289439
1,1,1803,7,16,0,305700
5,2,1623,9,4,1,584740
3,2,941,7,11,0,373210
2,2,732,9,37,1,334275
3,3,3090,4,17,0,580228
2,1,2459,10,25,0,472467
2,1,2900,10,30,0,509303
1,2,864,4,36,1,220028
3,3,692,6,5,0,386232
3,1,2285,8,40,1,478021
5,2,2034,9,14,1,634913
5,1,2785,1,41,1,573380
1,1,1831,1,48,0,258023
1,2,1601,8,25,0,351658
4,2,2260,7,11,0,559380
5,1,2196,9,40,1,588570
2,1,2954,3,46,0,451291
3,2,865,10,13,0,374930
1,1,1245,5,0,1,289818
3,1,2965,3,16,1,528343
3,2,1736,5,32,1,450174
4,1,3548,10,28,0,690551
5,1,2001,1,44,0,457957
1,3,1053,4,30,1,293813
3,2,2838,6,7,0,565198
1,3,2514,2,29,1,420493
2,3,2063,7,12,0,462983
4,3,1810,8,15,1,580008
2,1,1430,1,1,0,281384
1,1,1990,4,44,1,302307
1,3,1712,4,17,1,355604
5,3,2834,5,34,1,695935
3,3,3466,4,44,0,602481
3,1,2569,9,18,0,527078
2,3,3668,7,12,0,614382
4,3,2779,2,3,1,622312
3,2,1471,1,18,1,366125
5,2,1234,9,49,1,518088
2,1,1999,1,24,1,335504
2,2,1290,6,37,1,370407
5,2,3339,2,30,1,676190
4,2,3770,4,35,1,665703
5,1,2465,6,3,1,592871
4,2,1657,5,38,1,471362
5,1,2555,6,6,0,609282
5,3,1181,3,15,1,492045
1,2,2818,5,47,0,409338
2,1,1989,2,4,1,350405
5,2,1383,7,46,0,494369
5,3,3730,3,22,1,746418
3,1,780,1,35,0,246911
2,1,618,8,31,1,289333
3,1,1849,8,23,1,442898
2,3,3766,3,24,1,606059
3,3,3528,7,44,0,643003
5,3,3968,9,27,1,841330
5,1,2216,8,18,0,573660
1,3,2822,3,6,0,448974
3,2,1845,2,43,0,406378
4,3,2238,10,40,0,594730
1,1,653,7,16,0,200793
3,2,3342,7,1,1,651495
3,3,3510,9,15,0,667138
1,2,2026,5,38,0,329324
5,2,3989,4,17,0,720602
3,1,2996,8,38,0,553769
5,2,1042,4,0,1,456227
1,2,3480,4,2,1,511807
5,1,1179,2,20,1,436326
2,1,881,1,29,0,193778
4,1,3007,4,10,0,551517
3,2,3562,7,21,0,640447
4,2,1422,9,46,1,476385
5,2,3539,9,24,0,725884
3,1,3600,10,2,1,661049
5,3,2269,1,29,0,563805
2,2,1240,5,23,0,312736
1,3,1631,7,44,1,372996
3,1,2616,7,35,0,509851
2,2,1162,10,22,1,379835
2,3,3138,6,7,0,548842
3,2,940,10,3,1,439550
5,2,1071,4,49,0,443942
2,2,2310,3,38,0,389988
4,3,2896,9,42,0,660670
2,1,834,10,30,0,310355
5,2,1706,4,28,0,499196
5,1,1716,8,35,1,537759
4,1,2508,1,12,1,495216
2,3,2017,7,40,0,440871
5,3,1423,6,8,1,570877
3,1,1891,1,20,1,391836
1,2,1231,4,2,1,276908
1,3,1128,5,24,1,329456
1,2,3924,8,24,0,556137
2,2,2580,4,11,1,487626
4,2,2769,3,28,1,582552
5,1,3539,2,10,0,634290
3,2,2657,4,10,0,511300
3,1,1939,10,48,0,430306
2,1,3485,4,25,0,518764
1,2,1896,10,13,0,406095
2,2,1929,5,15,0,393968
4,2,1833,7,9,0,499233
4,2,2581,9,30,0,602477
5,1,2353,2,30,1,543484
5,2,3400,5,35,0,671621
4,2,3533,10,9,1,737412
4,1,3111,9,25,0,620807
4,3,3359,3,19,0,637195
2,3,3375,1,43,1,533564
4,1,3364,2,8,0,563501
3,3,2548,6,14,0,562667
1,1,3887,5,8,1,515213
4,2,2727,1,6,1,551024
1,2,3127,1,25,1,435691
2,3,1501,4,23,1,382293
1,2,1490,4,11,1,309423
2,3,2170,6,19,1,492100
3,3,2424,6,13,0,526772
2,2,2665,10,21,0,503137
2,2,1788,6,15,0,382658
5,3,2148,1,28,0,536607
4,2,801,10,31,0,431103
4,1,1340,9,18,1,459859
3,2,1969,7,34,1,482134
3,2,1989,7,42,0,448979
4,1,2600,7,31,1,575475
5,2,2071,2,19,0,511943
4,2,2136,2,39,1,478728
5,3,918,6,19,0,484868
3,2,2864,7,7,0,571006
1,2,1657,3,34,0,277681
3,1,2494,4,41,1,482968
3,3,2913,3,12,1,590015
2,3,1323,7,40,0,354542
2,3,3422,7,5,1,636124
2,2,3751,4,46,0,566318
2,3,2300,7,15,0,465342
5,1,1012,5,4,1,445217
4,3,1875,1,44,0,459336
1,1,3683,10,33,0,525986
3,3,1000,4,5,0,391932
5,3,2439,7,32,1,660657
1,1,1323,2,14,0,236416
5,3,2929,2,14,0,662616
5,3,1735,1,13,0,517456
3,3,3370,2,38,0,561634
4,2,1350,10,4,1,528840
2,1,867,8,25,0,285056
4,3,2945,8,47,0,623459
3,1,1940,8,16,1,482474
3,1,1169,1,42,1,317419
3,1,3156,1,46,1,500190
1,3,2573,10,15,1,498401
4,3,1145,4,34,1,430969
4,1,3422,6,37,1,638491
5,2,964,8,22,0,493015
5,1,1146,2,12,0,388948
5,2,870,3,32,1,447419
3,1,1338,6,28,0,342678
4,1,3184,10,45,1,637757
3,1,1857,4,33,0,406717
1,3,658,2,33,1,229678
5,2,1874,7,26,1,554402
3,2,2470,4,14,0,495658
3,1,685,8,49,1,327267
1,3,1362,8,8,0,346553
2,3,989,7,25,1,347917
4,2,1803,10,2,1,559263
2,3,1318,9,35,0,387475
5,2,3503,4,46,1,707667
3,2,748,7,4,0,350032
1,2,1182,10,19,0,336504
1,3,720,10,19,0,308968
4,2,3412,1,4,0,589720
2,2,3252,4,9,0,522197
4,1,2903,2,15,1,559727
3,2,1365,9,24,1,430758
4,2,3511,5,43,0,654502
1,1,1399,3,24,1,253354
1,1,3980,4,29,0,521106
5,3,2706,6,13,1,685029
5,2,1621,10,21,0,565777
3,3,3740,1,42,1,603785
2,3,2069,7,27,0,441543
4,1,3035,8,29,1,623092
3,3,1709,7,18,0,465535
5,2,3433,7,37,0,695782
4,1,1850,9,41,1,497909
5,2,3240,4,19,0,663041
4,2,2249,7,34,0,521428
2,1,3855,9,21,1,631327
3,2,2415,5,14,1,519018
4,1,1945,2,10,0,444446
1,2,3556,5,33,0,511180
1,1,1941,4,23,0,318305
4,3,3213,8,5,0,693356
4,2,3046,5,16,1,644509
4,1,2332,9,27,0,541475
1,2,1498,9,49,0,329341
1,2,3964,3,30,1,522235
4,2,2940,10,35,1,672247
5,1,1084,6,8,0,459592
5,3,1402,6,9,1,551804
2,3,2315,4,20,1,466427
3,3,2515,10,33,1,579521
5,1,2357,3,30,0,524980
1,3,2409,1,28,0,387653
5,1,3537,7,42,0,666159
2,2,2891,5,42,1,507535
2,2,2043,10,10,0,467377
3,3,2552,7,32,0,530348
5,1,3607,1,45,0,645545
1,2,3825,8,0,1,603536
1,1,3463,3,20,0,446302
4,1,2920,7,22,0,600398
1,2,2270,3,8,0,379490
3,1,2448,3,0,0,440730
3,2,1119,10,20,1,425288
1,2,1751,9,21,0,364291
1,2,1996,2,3,0,311742
4,1,3215,4,0,1,610701
1,2,3285,6,9,1,501421
4,1,2806,3,14,1,573415
4,2,1251,10,35,1,481154
1,2,2823,10,28,1,483888
2,3,2550,7,45,0,496271
2,3,3267,7,4,1,610524
4,3,810,5,28,1,416316
1,1,3094,3,46,1,424634
2,1,1185,2,46,0,245286
1,2,766,4,26,0,230700
1,2,3107,4,24,0,444029
1,2,3563,8,15,1,554498
5,2,3975,8,15,0,785327
1,1,1856,5,35,1,314648
5,2,3998,6,24,1,797557
4,2,1805,8,40,0,498840
2,3,2338,1,0,0,417660
2,2,1652,5,4,0,372359
2,2,1313,4,40,1,339165
2,2,3764,4,19,0,581436
2,1,3488,2,4,0,508555
2,3,3515,10,35,0,617743
2,2,1287,1,28,0,270926
4,2,929,6,47,0,382118
1,3,2346,7,33,1,467489
3,2,1807,5,47,1,442730
5,1,2742,8,17,0,638608
3,2,1384,9,1,1,439550
3,1,3296,2,15,1,555883
1,1,3000,4,28,1,412292
1,2,3577,9,32,0,544437
1,3,1540,5,15,1,362051
2,1,3631,3,34,0,505604
4,3,1888,6,46,1,532171
2,2,2279,3,42,0,397710
4,1,3690,5,41,1,657536
4,2,3293,3,16,1,626847
3,3,1225,6,3,0,428203
3,2,738,10,48,0,349105
4,2,3363,5,3,1,653613
4,1,1361,9,24,0,425000
2,2,2433,3,32,0,401047
2,2,2902,6,13,0,506945
3,2,3756,8,23,0,637203
1,1,2155,7,10,1,360573
4,3,1275,6,24,0,447997
2,3,691,2,27,1,295177
3,2,1692,7,6,1,467212
2,1,636,8,48,0,238087
4,2,2387,1,35,0,501223
4,3,2787,9,9,0,659077
5,1,3514,4,48,0,633917
1,3,3327,8,35,1,540815
5,3,1801,10,30,1,615568
3,1,2436,7,18,0,475479
2,1,2494,10,17,1,502855
3,2,736,7,48,0,322678
4,2,2837,2,5,1,565790
5,3,2263,1,27,1,573710
5,1,2989,4,6,1,647876
5,1,2182,2,37,0,501274
3,2,3676,8,11,0,654816
4,3,1571,10,40,1,560530
2,3,3928,7,49,0,616499
2,2,1261,8,33,0,363036
3,1,2890,6,24,1,544740
5,2,2410,1,16,0,542477
1,2,1014,9,32,0,265560
3,2,3354,6,22,1,600860
3,2,942,10,8,1,416601
4,1,3329,1,5,1,605701
2,2,3300,1,1,1,522394
3,1,745,8,37,0,333214
3,2,922,6,8,0,376522
5,3,2769,8,2,1,698818
5,1,1875,8,15,1,565629
1,3,2478,8,24,0,452499
4,2,2958,10,23,0,631369
1,2,1200,7,46,0,296190
5,2,1074,7,28,1,477927
2,1,3217,10,43,1,549299
5,3,2115,4,39,1,587622
4,1,1174,9,25,1,451181
5,1,946,2,37,0,395533
4,2,3467,9,34,1,719575
4,3,2110,10,22,1,605531
4,2,981,3,3,0,371732
4,1,1903,2,41,1,449196
4,2,671,4,13,0,368407
2,3,3168,5,46,1,573350
1,2,3580,2,38,0,476196
3,3,1717,1,6,0,414693
1,3,1996,10,7,0,442058
4,2,2986,5,41,1,627613
2,1,1959,9,18,1,445302
5,2,1263,5,1,1,524828
2,1,2115,10,46,1,433445
4,1,2491,9,0,1,586669
2,2,639,10,41,1,326779
2,1,1982,6,37,0,388577
4,1,2630,3,12,1,539825
2,2,3221,4,41,1,502515
3,2,1877,4,43,0,420048
3,2,1565,1,23,0,358669
2,1,3228,3,31,1,477175
5,3,2500,3,29,0,600353
4,1,2817,1,5,1,521625
3,3,1300,9,37,0,453940
5,2,1110,1,32,1,448193
2,3,1883,9,43,0,461355
5,2,1183,1,22,0,442652
1,2,1583,2,9,1,321216
3,3,1058,2,45,1,359852
2,2,3176,6,14,0,543882
4,3,2505,7,22,0,615703
2,2,2988,1,35,0,468593
4,1,2704,3,0,0,529400
2,1,2865,2,7,1,463802
5,2,3266,8,2,0,706169
5,2,1415,9,13,0,540266
5,3,3378,2,16,1,693004
1,1,3111,2,33,1,402365
4,3,846,10,46,1,462296
5,2,1329,9,5,1,555328
1,2,3020,4,4,1,464679
4,3,1016,5,45,1,452985
2,2,1654,9,40,0,409573
1,1,967,6,39,0,235382
3,3,3206,10,28,0,665709
1,1,707,9,34,1,227874
1,1,3231,9,17,1,501661
4,1,1438,7,39,0,429695
2,3,1017,10,47,0,348413
3,2,2243,9,29,1,544234
5,1,1420,5,14,1,478276
5,1,2021,5,14,0,514185
1,1,3943,8,15,0,555281
4,2,1282,10,32,0,483476
4,2,3787,4,9,0,678797
5,3,855,9,18,0,508744
